Fert/Inhib,N.Studies,Summary effect,Var. Sum. Effect,T2,I2,Q,C,df,Zstar,pz,LL.mean,UL.mean
Urea,,,,,,,,,,,,
PCF,18,0.046,0.013,0.126,0.642,47.533,242.155,17.000,0.393,0.694,-0.182,0.273
nitrapyrin,5,-0.004,0.006,0.000,0.000,1.128,101.594,4.000,-0.049,0.961,-0.152,0.145
NBPT,1,0.279,0.013,,,,,,,,0.054,0.505
NBPT+DCD,8,0.001,0.034,0.111,0.499,13.979,62.882,7.000,0.005,0.996,-0.363,0.365
S.R,5,0.181,0.052,0.091,0.376,6.415,26.621,4.000,0.796,0.426,-0.264,0.626
UAN,,,,,,,,,,,,
NBPT,2,0.132,0.045,0.063,0.653,2.882,29.853,1.000,0.618,0.537,-0.286,0.549
NBPT+DCD,4,0.205,0.012,0.000,0.000,2.218,11.281,3.000,1.895,0.058,-0.007,0.416
thiosulfate,1,0.169,0.011,,,,,,1.649,0.099,-0.032,0.371
S.R,1,-0.175,0.121,,,,,,-0.504,0.614,-0.856,0.506
nitrapyrin,3,0.083,0.022,0.000,0.000,0.541,17.175,2.000,0.553,0.580,-0.210,0.376
AA,,,,,,,,,,,,
nitrapyrin,16,0.119,0.012,0.050,0.309,21.713,133.361,15.000,1.103,0.270,-0.092,0.329
