"","Study","Fert","Inhibitor","mean.diff","diff.var","Weight(Wi)","R.E. weight"
"1","ParkinHatfield 10","AA","nitrapyrin",1.3,0.180283333333333,5.54682444300639,4.77268585027917
"2","Randall 05","AA","nitrapyrin",-0.0800000000000001,0.2665,3.75234521575985,3.38132224592986
"3","Randall 06 Esp","AA","nitrapyrin",0.800000000000001,0.30025,3.33055786844296,3.03497233836221
"4","Randall 06 fsp","AA","nitrapyrin",-0.16,1.00085,0.999150721886397,0.970786797632514
"5","Randall 07 Esp","AA","nitrapyrin",0.44,0.583825,1.71284203314349,1.63114230478198
"6","Randall 07 fsp","AA","nitrapyrin",-0.0199999999999996,0.04844375,20.6424977422268,12.8723248089426
"7","Randall 08 Esp","AA","nitrapyrin",-0.5,0.838625,1.19242808168132,1.15224989598262
"8","Randall 08 fsp","AA","nitrapyrin",0.41,0.15718125,6.36208199133166,5.36412931004921
"9","Randall 09 Esp","AA","nitrapyrin",-0.119999999999999,0.352325,2.83828851202725,2.62076968857647
"10","Randall 09 fsp","AA","nitrapyrin",-0.425000000000001,0.05153125,19.4057004244997,12.3802911484867
"11","Randall 10 Esp","AA","nitrapyrin",0.19,0.04505,22.1975582685905,13.4603461174728
"12","Randall 10 fsp","AA","nitrapyrin",0.0649999999999995,0.06881875,14.5309236218327,10.1977294190142
"13","Randall 11 Esp","AA","nitrapyrin",0.19,0.086525,11.5573533660792,8.63801821513772
"14","Randall 11 fsp","AA","nitrapyrin",0.0649999999999995,0.0740687500000001,13.5009703822462,9.67950719383544
"15","Randall 12 Esp","AA","nitrapyrin",-0.369999999999999,0.143425,6.97228516646331,5.79148472768163
"16","Randall 12 fsp","AA","nitrapyrin",0.0200000000000014,1.87179375,0.534246895524681,0.526028952900921
