"","Study","Fert","Inhibitor","mean.comp","sd.comp","n.comp"
"1","Ebelhar 07","urea","none",9.937,1.00412150659171,80
"2","Ebelhar 07","urea","NBPT",10.1,0.903794777590577,80
"3","Ebelhar 07","urea","PCF",10.036,1.05761996955428,80
"4","Ebelhar 07","urea","NBPT+DCD",10.0395,0.838113954065913,80
"5","Fernandez 14","urea","PCF",7.28,1.21,4
"6","Fernandez 14","urea","none",8.45,0.8,4
"7","Halvorson 14","urea","PCF",9.93325,0.608974137381876,16
"8","Halvorson 14","urea","none",9.26985714285714,1.20173897807659,28
"9","Halvorson 14","urea","NBPT+DCD",9.13233333333333,1.52195718292818,12
"10","Hatfield/Parkin 14","urea","PCF",7.48033333333333,1.26363945279762,15
"11","Hatfield/Parkin 14","urea","NBPT+DCD",7.7915,1.96328678496036,20
"12","Randall 03","urea","none",11.85,2.00334095949741,16
"13","Randall 03","urea","PCF",11.8614285714286,1.79922602407654,28
"14","Randall 04","urea","none",9.825,0.777110030819317,16
"15","Randall 04","urea","PCF",10.04125,0.847164387825645,32
"16","Randall 05","urea","none",9.37,0.627275856382182,16
"17","Randall 05","urea","PCF",9.65857142857143,0.693634321114931,28
"18","Randall 06 fsp","urea","PCF",13.5833333333333,1.22117429823374,12
"19","Randall 06 fsp","urea","none",13.8933333333333,1.12513702869176,12
"20","Randall 07 fsp","urea","PCF",10.79,0.589180221437663,12
"21","Randall 07 fsp","urea","none",11.0466666666667,0.552268050859363,12
"22","Randall 08 fsp","urea","PCF",12.35,0.556117493580868,12
"23","Randall 08 fsp","urea","none",12.7666666666667,0.759890342966229,12
"24","Randall 09 fsp","urea","PCF",14.3433333333333,0.828210923215417,12
"25","Randall 09 fsp","urea","none",14.2733333333333,0.746033958118976,12
"26","Randall 09 fsp","urea","S.R",14.46,0.49623583103198,8
"27","Randall 10 fsp","urea","PCF",12.8166666666667,0.388200978875633,12
"28","Randall 10 fsp","urea","none",12.7733333333333,0.655870922260369,12
"29","Randall 10 fsp","urea","S.R",12.575,0.691809222257119,8
"30","Randall 11 fsp","urea","none",11.79,0.442718872423573,8
"31","Randall 11 fsp","urea","nitrapyrin",11.725,0.475184174820669,8
"32","Randall 11 fsp","urea","S.R",11.915,0.715681493403316,8
"33","Randall 12 Esp","urea","none",12.415,0.483838816136118,8
"34","Randall 12 Esp","urea","nitrapyrin",12.51,0.330605505096331,8
"35","Randall 12 fsp","urea","none",10.53,2.22783527218688,8
"36","Randall 12 fsp","urea","nitrapyrin",10.65,2.65198039208438,8
"37","Randall 12 fsp","urea","S.R",10.57,1.29917281375497,8
"38","Vetsch 12","urea","none",12.0340909090909,0.568178909083462,66
"39","Vetsch 12","urea","nitrapyrin",12.0604545454545,0.556192412749401,66
"40","Wiatrak 14","urea","none",12.01,4.1709711099455,24
"41","Wiatrak 14","urea","S.R",14.09,5.44593885386166,24
