"","Study","Fert","Inhibitor","LRR","LRR.var","Weight(Wi)","R.E. weight"
"1","Ebelhar 07","urea","NBPT",0.0162702595979874,0.000227729384055947,4391.17685293667,1
"2","Ebelhar 07","urea","PCF",0.00991346425494962,0.000266454349470971,3752.98808965003,1800.74733542062
"4","Fernandez 14","urea","PCF",-0.149035579160488,0.00914715846730485,109.323567922689,105.976782006368
"5","Halvorson 14","urea","PCF",0.0691197467823189,0.000835134376229316,1197.41209135117,889.675742662668
"7","Randall 03","urea","PCF",0.000963971637488149,0.00260804393441337,383.4291235684,345.194852443934
"8","Randall 04","urea","PCF",0.0217714507505603,0.000613441296988517,1630.14783143744,1108.26417780857
"9","Randall 05","urea","PCF",0.0303326557969425,0.000464297924164322,2153.78951305861,1327.72402348426
"10","Randall 06 fsp","urea","PCF",-0.0225655577582398,0.00122007019131774,819.624974953242,662.716507788378
"11","Randall 07 fsp","urea","PCF",-0.023508944060267,0.000456753072217358,2189.36677348527,1341.15905912326
"12","Randall 08 fsp","urea","PCF",-0.033181544444507,0.000464206701114982,2154.21276254326,1327.88485561537
"13","Randall 09 fsp","urea","PCF",0.00489226368897155,0.000505502812852482,1978.22835912057,1258.85374564235
"15","Randall 10 fsp","urea","PCF",0.00338674284899836,0.000296159343343183,3376.56070111292,1709.31409295892
"3","Ebelhar 07","urea","NBPT+DCD",0.0102621479774433,0.000214750452047885,4656.56761354346,4656.56761354346
"6","Halvorson 14","urea","NBPT+DCD",-0.0149467390835393,0.00291474350862622,343.083361208452,343.083361208452
"14","Randall 09 fsp","urea","S.R",0.012993222237194,0.000374873347902484,2667.56760808755,2667.56760808755
"16","Randall 10 fsp","urea","S.R",-0.0156489484487446,0.000598035042460609,1672.14281605558,1672.14281605558
"18","Randall 11 fsp","urea","S.R",0.0105463960014259,0.000627238167282671,1594.29073701336,1594.29073701336
"21","Randall 12 fsp","urea","S.R",0.00379147373626222,0.00748364858858898,133.624660239231,133.624660239231
"23","Wiatrak 14","urea","S.R",0.159725689818697,0.0112500870014806,88.888201475099,88.888201475099
"17","Randall 11 fsp","urea","nitrapyrin",-0.00552840021693646,0.000381562916933732,2620.79975705206,2620.79975705206
"19","Randall 12 Esp","urea","nitrapyrin",0.00762290551868985,0.000277153488753422,3608.10901027365,3608.10901027365
"20","Randall 12 fsp","urea","nitrapyrin",0.01133156600955,0.0133461362161527,74.9280528689427,74.9280528689427
"22","Vetsch 12","urea","nitrapyrin",0.00218834980177128,6.59992924061782e-05,15151.6775944463,15151.6775944463
