"","Study","Fert","Inhibitor","LRR","LRR.var","Weight(Wi)","R.E. weight"
"1","Ebelhar 07","UAN","NBPT",0.0287470935582458,9.01306313358024e-05,11095.0071599329,1465.28567636965
"8","Hatfield/Parkin 14","UAN","NBPT",-0.0153578626143091,0.000670456237987004,1491.52165844922,791.89957510402
"2","Ebelhar 07","UAN","NBPT+DCD",0.0218036188391306,0.000117340793722379,8522.1854077955,8522.1854077955
"4","Halvorson 10 jeq","UAN","NBPT+DCD",0.0601436058220568,0.00375449985163693,266.347060731407,266.347060731407
"6","Halvorson 11","UAN","NBPT+DCD",-0.0364552060114806,0.00170760447001495,585.615707594889,585.615707594889
"7","Halvorson 12","UAN","NBPT+DCD",-0.010179931821202,0.00348044039217116,287.319961648929,287.319961648929
"3","Ebelhar 07","UAN","thiosulfate",0.0165038063810678,9.98917511794991e-05,10010.8366125554,1
"5","Halvorson 11","UAN","S.R",-0.0118907465215216,0.000551129177945573,1814.45664649378,1
"9","Randall 12 Esp","UAN","nitrapyrin",-0.00246204473977504,0.00078404089588529,1275.44367296155,1275.44367296155
"10","Vetsch/Randall  11","UAN","nitrapyrin",-0.0359458989830622,0.00624409724295642,160.151253430276,160.151253430276
"11","Vetsch 12","UAN","nitrapyrin",0.01188038684387,0.000222897504198504,4486.36696761503,4486.36696761503
