"","Study","Fert","Inhibitor","LRR","LRR.var","Weight(Wi)","R.E. weight"
"1","Argoti 13","urea","PCF",-0.432142304577068,0.0186602194131159,53.5899379241554,51.3295094903209
"4","Ebelhar 07","urea","PCF",0.0104577449646994,0.00012605531014527,7933.0255809737,1055.06756527616
"6","Fernandez 14","urea","PCF",0.0290823840376558,0.00129474135647618,772.35503059981,472.479789876057
"7","Halvorson 10 jeq","urea","PCF",-0.0351929014372729,0.0027557587865929,362.876462506487,279.524020648949
"9","Halvorson 10 sssaj","urea","PCF",0.0756917218392101,0.000327076282815682,3057.39074503159,870.452646930018
"11","Halvorson 11","urea","PCF",0.0249061646017752,0.000681245943580695,1467.89864867878,665.337220121584
"13","Halvorson 12","urea","PCF",-0.0154853029090134,0.00134384062996482,744.13585785554,461.76751568114
"15","Halvorson 13","urea","PCF",-0.0336836422217592,0.00272920386441221,366.407219716938,281.614370511758
"17","Halvorson 14","urea","PCF",0.0467060260573302,0.000170340367606572,5870.59904854531,1007.97138471319
"19","Randall 03","urea","PCF",0.000963971637488149,0.00260804393441337,383.4291235684,291.562596339807
"20","Randall 04","urea","PCF",0.0217714507505603,0.000613441296988517,1630.14783143744,696.770600939316
"21","Randall 05","urea","PCF",0.0303326557969425,0.000464297924164322,2153.78951305861,777.575220634277
"22","Randall 06 fsp","urea","PCF",-0.0225655577582398,0.00122007019131774,819.624974953242,489.758781589535
"23","Randall 07 fsp","urea","PCF",-0.023508944060267,0.000456753072217358,2189.36677348527,782.163933898968
"24","Randall 08 fsp","urea","PCF",-0.033181544444507,0.000464206701114982,2154.21276254326,777.630380121064
"25","Randall 09 fsp","urea","PCF",0.00489226368897155,0.000505502812852482,1978.22835912057,753.435230869638
"27","Randall 10 fsp","urea","PCF",0.00338674284899836,0.000296159343343183,3376.56070111292,894.525887707086
"34","Venterea 11","urea","PCF",-0.0509914379682941,0.00296284175620498,337.513806772074,264.229201999831
"2","Awale 13","urea","nitrapyrin",-0.0234655349260058,0.000729702631138906,1370.42126110909,1370.42126110909
"29","Randall 11 fsp","urea","nitrapyrin",-0.00552840021693646,0.000381562916933732,2620.79975705206,2620.79975705206
"31","Randall 12 Esp","urea","nitrapyrin",0.00762290551868985,0.000277153488753422,3608.10901027365,3608.10901027365
"32","Randall 12 fsp","urea","nitrapyrin",0.01133156600955,0.0133461362161527,74.9280528689427,74.9280528689427
"36","Vetsch 12","urea","nitrapyrin",0.00218834980177128,6.59992924061782e-05,15151.6775944463,15151.6775944463
"3","Ebelhar 07","urea","NBPT",0.0260919562037406,0.000116475381067964,8585.50528730612,1
"5","Ebelhar 07","urea","NBPT+DCD",0.0275890831518098,0.000123034022515592,8127.83309489268,1169.8114907858
"8","Halvorson 10 jeq","urea","NBPT+DCD",-0.0678418671717366,0.0051255922633251,195.099404834686,170.724304612713
"10","Halvorson 10 sssaj","urea","NBPT+DCD",-0.0719950995300505,0.000806819461516385,1239.43465384504,649.931356928906
"12","Halvorson 11","urea","NBPT+DCD",0.0475384428894631,0.00121907540421725,820.293803435469,512.589199155926
"14","Halvorson 12","urea","NBPT+DCD",-0.011460448407492,0.00209973928484292,476.249602614264,353.164229045214
"16","Halvorson 13","urea","NBPT+DCD",0.0192466292552243,0.00169316987641345,590.608192320457,412.37548065796
"18","Halvorson 14","urea","NBPT+DCD",0.00635255800667942,0.000475350359702056,2103.71146164019,828.394087011408
"35","Venterea 11","urea","NBPT+DCD",-0.00459947150445779,0.00179216103313105,557.985572453229,396.20191399116
"26","Randall 09 fsp","urea","S.R",0.012993222237194,0.000374873347902484,2667.56760808755,1088.73993315689
"28","Randall 10 fsp","urea","S.R",-0.0156489484487446,0.000598035042460609,1672.14281605558,875.921599359539
"30","Randall 11 fsp","urea","S.R",0.0105463960014259,0.000627238167282671,1594.29073701336,854.074670103029
"33","Randall 12 fsp","urea","S.R",0.00379147373626222,0.00748364858858898,133.624660239231,124.575381171524
"37","Wiatrak 14","urea","S.R",0.136906204614716,0.00304716028247579,328.174400851507,278.491029837535
