"","Study","Fert","Inhibitor","mean.diff","diff.var","Weight(Wi)","R.E. weight"
"1","Argoti 13","urea","PCF",-2.11933333333333,0.333551972222222,2.998033539834,2.17560484055747
"4","Ebelhar 07","urea","PCF",0.111083333333299,0.0142007243589744,70.4189430568049,7.12803865052458
"6","Fernandez 14","urea","PCF",0.266666666666659,0.109875,9.10125142207053,4.23791085902607
"7","Halvorson 10 jeq","urea","PCF",-0.44075,0.438919229166666,2.27832351273059,1.76988158541065
"9","Halvorson 10 sssaj","urea","PCF",0.815,0.0365522106481481,27.3581264243087,6.14845320213333
"11","Halvorson 11","urea","PCF",0.359999999999999,0.1426229375,7.01149490768271,3.72143898764937
"13","Halvorson 12","urea","PCF",-0.2225,0.274925270833333,3.63735205923004,2.49366862072305
"15","Halvorson 13","urea","PCF",-0.4786666666666,0.547810907407407,1.82544740617277,1.48389698151983
"17","Halvorson 14","urea","PCF",0.572466666666701,0.025402786888889,39.3657595276443,6.60096032121077
"19","Randall 03","urea","PCF",0.0114285714286009,0.366450733418367,2.72887978875547,2.0302876059128
"20","Randall 04","urea","PCF",0.21625,0.060171484375,16.6191678730711,5.36878719282975
"21","Randall 05","urea","PCF",0.28857142857143,0.0417753507653061,23.9375608266702,5.95714409128208
"22","Randall 06 fsp","urea","PCF",-0.31,0.229766666666666,4.35224140432324,2.8101176375659
"23","Randall 07 fsp","urea","PCF",-0.256666666666701,0.0543444444444445,18.4011449601308,5.54216917450909
"24","Randall 08 fsp","urea","PCF",-0.4166666666667,0.0738916666666667,13.533325814819,5.00045032658665
"25","Randall 09 fsp","urea","PCF",0.0700000000000003,0.103541666666667,9.65794768611667,4.35479397394234
"27","Randall 10 fsp","urea","PCF",0.0433333333334005,0.0484055555555556,20.6587857224836,5.73079441547338
"34","Venterea 11","urea","PCF",-0.649999999999999,0.472189583333334,2.11779343572276,1.67145844489502
"2","Awale 13","urea","nitrapyrin",-0.17,0.038125,26.2295081967213,26.2295081967213
"29","Randall 11 fsp","urea","nitrapyrin",-0.0649999999999995,0.052725,18.9663347558084,18.9663347558084
"31","Randall 12 Esp","urea","nitrapyrin",0.0950000000000006,0.042925,23.296447291788,23.296447291788
"32","Randall 12 fsp","urea","nitrapyrin",0.120000000000001,1.49953125,0.666875065124518,0.666875065124518
"36","Vetsch 12","urea","nitrapyrin",0.0263636363636,0.0095784435261708,104.401095780096,104.401095780096
"3","Ebelhar 07","urea","NBPT",0.2793333333333,0.0132672712339744,75.3734496238558,1
"5","Ebelhar 07","urea","NBPT+DCD",0.295583333333299,0.0140565837339744,71.1410410185959,7.99691069670087
"8","Halvorson 10 jeq","urea","NBPT+DCD",-0.836,0.767464583333331,1.302991723288,1.13836056837999
"10","Halvorson 10 sssaj","urea","NBPT+DCD",-0.720000000000001,0.0786078148148148,12.7213814854899,5.27427495340235
"12","Halvorson 11","urea","NBPT+DCD",0.695,0.266773666666667,3.74849591601369,2.64714575307289
"14","Halvorson 12","urea","NBPT+DCD",-0.165000000000001,0.431580499999998,2.31706483494969,1.84307266438123
"16","Halvorson 13","urea","NBPT+DCD",0.280833333333399,0.358460287037035,2.78970930996516,2.13014326570372
"18","Halvorson 14","urea","NBPT+DCD",0.0762999999999998,0.0688281454999998,14.5289400540365,5.56112128708944
"35","Venterea 11","urea","NBPT+DCD",-0.0599999999999987,0.304970833333335,3.27900209036381,2.40406264309195
"26","Randall 09 fsp","urea","S.R",0.186666666666701,0.0771618055555555,12.9597796837454,5.95643841840101
"28","Randall 10 fsp","urea","S.R",-0.1983333333333,0.0956722222222222,10.4523546832356,5.36492266310467
"30","Randall 11 fsp","urea","S.R",0.125,0.0885250000000001,11.2962439988704,5.57883932087096
"33","Randall 12 fsp","urea","S.R",0.0400000000000009,0.8313875,1.20280855798289,1.08446783952071
"37","Wiatrak 14","urea","S.R",1.935,0.622139814814815,1.60735573610195,1.40279296488156
