"","study","source","inhibitor","mean.ctrl","sd.ctrl","n.ctrl","mean.trt","sd.trt","n.trt","ratetot","ratefall","ratepreplantspring","rateatplantoremerg","ratesidedresspostemerg","ratesplit2","ratesplit3","apptime","split","fallorspring","place","place2","dateplant","county","rot","till","effect size","var. effect size","R.E. weight"
"73","Ebelhar 07","UAN","NBPT",9.97,0.36,4,10.08,0.9,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0109726786694755,0.00231893747700125,431.231980127881
"74","Ebelhar 07","UAN","NBPT",11.22,0.74,4,11.3,0.99,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.00710482562374458,0.00300637628615549,332.626359715865
"118","Ebelhar 07","UAN","NBPT",10.08,0.98,4,10.72,0.72,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.0615578929994334,0.00349079686215138,286.467542939093
"119","Ebelhar 07","UAN","NBPT",11.81,1.2,4,12.08,1.09,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.0226045622973979,0.00461653126409508,216.612851249913
"158","Ebelhar 07","UAN","NBPT",9.98,1.42,4,10.65,0.59,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.0649768018320615,0.00582848864454699,171.571064299075
"159","Ebelhar 07","UAN","NBPT",12.45,1.38,4,13.36,0.37,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.0705445451977832,0.00326331122842362,306.437213616018
"203","Ebelhar 07","UAN","NBPT",9.94,1.02,4,9.89,1.48,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.00504287503386179,0.00823098452069553,121.492149266671
"204","Ebelhar 07","UAN","NBPT",11.55,1.28,4,11.78,1.59,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",0.0197177412556381,0.00762493837311191,131.148600954774
"243","Ebelhar 07","UAN","NBPT",6.93,1.41,4,7.27,1.03,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.0478964783436161,0.0153674918712569,65.0724274577546
"244","Ebelhar 07","UAN","NBPT",8.17,0.64,4,7.9,0.09,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",-0.0336061493989357,0.00156655440146049,638.343615177171
"288","Ebelhar 07","UAN","NBPT",7.58,0.44,4,7.2,0.46,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",-0.0514321736322707,0.00186282540347717,536.818962278155
"289","Ebelhar 07","UAN","NBPT",8.13,0.76,4,8.23,0.87,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",0.0122250911292593,0.00497836534735243,200.869146843916
"328","Ebelhar 07","UAN","NBPT",8.52,0.68,4,8.31,0.54,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/8/07","DeKalb","CC","tilled",-0.0249567319738674,0.00264816051835986,377.620613655003
"329","Ebelhar 07","UAN","NBPT",10.63,1.27,4,10.77,1.33,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/8/07","DeKalb","CC","tilled",0.0130842988144405,0.00738097856282704,135.483390378116
"373","Ebelhar 07","UAN","NBPT",7.16,1.19,4,9.16,1.83,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",0.246336197713485,0.0168838807064944,59.2280896426466
"374","Ebelhar 07","UAN","NBPT",9.63,1.03,4,10.38,1.17,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",0.0749976519277083,0.00603623984101127,165.666048125826
"413","Ebelhar 07","UAN","NBPT",8.07,0.85,4,8.12,0.6,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Champaign","CC","tilled",0.00617667189172892,0.00413850981880162,241.632868782118
"414","Ebelhar 07","UAN","NBPT",8.92,1.15,4,8.56,0.27,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Champaign","CC","tilled",-0.0411957564382672,0.00440405973787176,227.06322337109
"458","Ebelhar 07","UAN","NBPT",9.35,0.49,4,8.96,0.51,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Champaign","CC","tilled",-0.0426061163137564,0.00149656957438325,668.194795027894
"459","Ebelhar 07","UAN","NBPT",10.26,0.23,4,10.29,0.28,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Champaign","CC","tilled",0.00291971010333462,0.000310740255149404,3218.12183464675
"694","Hatfield/Parkin 14","UAN","NBPT",8.042,0.709,5,7.238,2.46,5,112,0,112,0,0,0,0,"preplant","single","spring","broadcast","none","5/16/08","Boone","CC","strip tilled",-0.105332883333531,0.0246572295813487,40.5560566608189
