"","study","source","inhibitor","mean.ctrl","sd.ctrl","n.ctrl","mean.trt","sd.trt","n.trt","ratetot","ratefall","ratepreplantspring","rateatplantoremerg","ratesidedresspostemerg","ratesplit2","ratesplit3","apptime","split","fallorspring","place","place2","dateplant","county","rot","till","effect size","var. effect size","R.E. weight"
"73","Ebelhar 07","UAN","NBPT",9.97,0.36,4,10.08,0.9,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.109999999999999,0.2349,4.2571306939123
"74","Ebelhar 07","UAN","NBPT",11.22,0.74,4,11.3,0.99,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0800000000000001,0.381925,2.618315114224
"118","Ebelhar 07","UAN","NBPT",10.08,0.98,4,10.72,0.72,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.640000000000001,0.3697,2.70489586150933
"119","Ebelhar 07","UAN","NBPT",11.81,1.2,4,12.08,1.09,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.27,0.657025,1.5220120999962
"158","Ebelhar 07","UAN","NBPT",9.98,1.42,4,10.65,0.59,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.67,0.591125,1.69168957496299
"159","Ebelhar 07","UAN","NBPT",12.45,1.38,4,13.36,0.37,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.91,0.510325,1.95953559006515
"203","Ebelhar 07","UAN","NBPT",9.94,1.02,4,9.89,1.48,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.0499999999999989,0.8077,1.23808344682432
"204","Ebelhar 07","UAN","NBPT",11.55,1.28,4,11.78,1.59,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",0.229999999999999,1.041625,0.960038401536061
"243","Ebelhar 07","UAN","NBPT",6.93,1.41,4,7.27,1.03,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.34,0.76225,1.31190554280092
"244","Ebelhar 07","UAN","NBPT",8.17,0.64,4,7.9,0.09,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",-0.27,0.104425,9.57625089777352
"288","Ebelhar 07","UAN","NBPT",7.58,0.44,4,7.2,0.46,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",-0.38,0.1013,9.87166831194472
"289","Ebelhar 07","UAN","NBPT",8.13,0.76,4,8.23,0.87,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",0.0999999999999996,0.333625,2.99737729486699
"328","Ebelhar 07","UAN","NBPT",8.52,0.68,4,8.31,0.54,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/8/07","DeKalb","CC","tilled",-0.209999999999999,0.1885,5.30503978779841
"329","Ebelhar 07","UAN","NBPT",10.63,1.27,4,10.77,1.33,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/8/07","DeKalb","CC","tilled",0.139999999999999,0.84545,1.18280205807558
"373","Ebelhar 07","UAN","NBPT",7.16,1.19,4,9.16,1.83,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",2,1.19125,0.839454354669465
"374","Ebelhar 07","UAN","NBPT",9.63,1.03,4,10.38,1.17,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",0.75,0.60745,1.64622602683348
"413","Ebelhar 07","UAN","NBPT",8.07,0.85,4,8.12,0.6,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Champaign","CC","tilled",0.0499999999999989,0.270625,3.69515011547344
"414","Ebelhar 07","UAN","NBPT",8.92,1.15,4,8.56,0.27,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Champaign","CC","tilled",-0.359999999999999,0.34885,2.86656155940949
"458","Ebelhar 07","UAN","NBPT",9.35,0.49,4,8.96,0.51,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Champaign","CC","tilled",-0.389999999999999,0.12505,7.9968012794882
"459","Ebelhar 07","UAN","NBPT",10.26,0.23,4,10.29,0.28,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Champaign","CC","tilled",0.0299999999999994,0.032825,30.4645849200305
"694","Hatfield/Parkin 14","UAN","NBPT",8.042,0.709,5,7.238,2.46,5,112,0,112,0,0,0,0,"preplant","single","spring","broadcast","none","5/16/08","Boone","CC","strip tilled",-0.803999999999999,1.3108562,0.76286018252803
"710","Hatfield/Parkin 14","UAN","NBPT",6.824,1.556,5,7.956,1.414,5,112,0,112,0,0,0,0,"preplant","single","spring","broadcast","none","5/7/09","Boone","CC","strip tilled",1.132,0.8841064,1.1310855797447
"726","Hatfield/Parkin 14","UAN","NBPT",6.438,0.57,5,6.39,2.187,5,112,0,112,0,0,0,0,"preplant","single","spring","broadcast","none","5/6/10","Boone","CC","strip tilled",-0.048,1.0215738,0.978881799826895
"731","Ebelhar 07","UAN","NBPT+DCD",9.97,0.36,4,9.67,0.65,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",-0.300000000000001,0.138025,3.41793314560164
"741","Ebelhar 07","UAN","NBPT+DCD",11.22,0.74,4,12.16,0.87,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.94,0.326125,2.08041002667771
"1181","Ebelhar 07","UAN","NBPT+DCD",10.08,0.98,4,9.67,0.67,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",-0.41,0.352325,1.97287503477978
"1191","Ebelhar 07","UAN","NBPT+DCD",11.81,1.2,4,11.55,1.2,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",-0.26,0.72,1.14344588514894
"1581","Ebelhar 07","UAN","NBPT+DCD",9.98,1.42,4,10.49,0.67,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.51,0.616325,1.29722805824207
"1591","Ebelhar 07","UAN","NBPT+DCD",12.45,1.38,4,12.93,1.05,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.48,0.751725,1.10341847440727
"2031","Ebelhar 07","UAN","NBPT+DCD",9.94,1.02,4,9.06,1.44,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.879999999999999,0.7785,1.07175452688504
"2041","Ebelhar 07","UAN","NBPT+DCD",11.55,1.28,4,10.53,2.18,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-1.02,1.5977,0.570694991519551
"2431","Ebelhar 07","UAN","NBPT+DCD",6.93,1.41,4,7.39,0.48,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.46,0.554625,1.41009022950142
"2441","Ebelhar 07","UAN","NBPT+DCD",8.17,0.64,4,8.2,0.99,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.0299999999999994,0.347425,1.99213316069537
"2881","Ebelhar 07","UAN","NBPT+DCD",7.58,0.44,4,7.74,0.55,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",0.16,0.124025,3.58970431674102
