"","Author","Source","Inhibitor","Name","ratetot","ratetot.source","ratefall","ratepreplantspring","rateatplantoremerg","ratesidedresspostemerg","ratesplit2","ratesplit3","apptime","split","dateN","datesplit","datesplit2","fallorspring","place","place2","slope","dateplant","dateharvest","state","country","county","LRR","MLRA","lat","lon","rot","till","MAP.worldclim..mm.","MAT","sseries","sclass","sorder","stext","stextgrp","sand","clay","pH","pHmeth","SOM","SOC","bulkdensity","WFPS","tempmax","tempmin","precipann","preciprep","precipest","irrig","irrigapp","drainage","n2o.days","n2o","n2o.source","n2o.n","n2o.sd","n2o.sd.source","n2o.se","n2o.se.source","n2o.per","n2o.yldsc","n2o.yldsc.source","n2o.yldsc.se","n2o.yldsc.se..source","yld","yield.source","yld.n","yld.sd","yld.sd.source","yld.se","yld.se.source","NUE","plotsize.m2","leach","leach.source","leach.n","leach.sd","leach.sd.source","leach.se","leach.se.source","leach.yldsc","leach.yldsc.se","reps","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9"
"2","Argoti 13","urea","none","urea",168,"paper",0,0,168,0,0,0,"at planting","single","5/12/09","1/1/11","1/1/11","spring","broadcast","none","none","5/2/09","8/30/09","Kansas","USA","Riley","H","74",39.19,-96.59,"CC","no-till",882,11.9,"Kennebec Silt Loam","fine-silty, mixed, superactive, mesic Cumulic Hapludolls","Mollisol","silt loam","fine",12,20,6.9,"water",3,1.74,1.3,"70",36.5,-0.5,1052,"588",804,"rainfed","0","","120","3.712","author","4","2.69","calc/raw data","1.34","calc/raw data","season","392.4",".",".",".",11.195,"author",4,1.95,"calc/raw data","0.98","calc/raw data","20.43",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Argoti 13","urea","none","urea",168,"paper",0,0,168,0,0,0,"at planting","single","5/12/09","1/1/11","1/1/11","spring","surface band","none","none","5/2/09","8/30/09","Kansas","USA","Riley","H","74",39.19,-96.59,"CC","no-till",882,11.9,"Kennebec Silt Loam","fine-silty, mixed, superactive, mesic Cumulic Hapludolls","Mollisol","silt loam","fine",12,20,6.9,"water",3,1.74,1.3,"70",36.5,-0.5,1052,"588",804,"rainfed","0","","120","1.45","author","4","0.53","calc/raw data","0.26","calc/raw data","season","204.7",".",".",".",8.382,"author",4,1.21,"calc/raw data","0.61","calc/raw data","9.7",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Argoti 13","urea","none","urea",168,"paper",0,0,168,0,0,0,"at planting","single","5/12/09","1/1/11","1/1/11","spring","subsurface band","none","none","5/2/09","8/30/09","Kansas","USA","Riley","H","74",39.19,-96.59,"CC","no-till",882,11.9,"Kennebec Silt Loam","fine-silty, mixed, superactive, mesic Cumulic Hapludolls","Mollisol","silt loam","fine",12,20,6.9,"water",3,1.74,1.3,"70",36.5,-0.5,1052,"588",804,"rainfed","0","","120","1.709","author","4","0.85","calc/raw data","0.43","calc/raw data","season","232.4",".",".",".",8.704,"author",4,1.89,"calc/raw data","0.94","calc/raw data","5.61",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Argoti 13","urea","none","urea",168,"paper",0,0,168,0,0,0,"at planting","single","5/12/10","1/1/11","1/1/11","spring","broadcast","none","none","5/2/10","8/30/10","Kansas","USA","Riley","H","74",39.19,-96.59,"CC","no-till",882,11.9,"Kennebec Silt Loam","fine-silty, mixed, superactive, mesic Cumulic Hapludolls","Mollisol","silt loam","fine",12,20,6.9,"water",3,1.74,1.3,"70",40,1.5,928,"551",775,"rainfed","0","","120","1.464","author","4","0.85","calc/raw data","0.42","calc/raw data","season","450.5",".",".",".",3.846,"author",4,1.1,"calc/raw data","0.55","calc/raw data","19.92",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Argoti 13","urea","none","urea",168,"paper",0,0,168,0,0,0,"at planting","single","5/12/10","1/1/11","1/1/11","spring","surface band","none","none","5/2/10","8/30/10","Kansas","USA","Riley","H","74",39.19,-96.59,"CC","no-till",882,11.9,"Kennebec Silt Loam","fine-silty, mixed, superactive, mesic Cumulic Hapludolls","Mollisol","silt loam","fine",12,20,6.9,"water",3,1.74,1.3,"70",40,1.5,928,"551",775,"rainfed","0","","120","1.14","author","4","0.53","calc/raw data","0.27","calc/raw data","season","426.5",".",".",".",3.163,"author",4,1.64,"calc/raw data","0.82","calc/raw data","15.85",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Argoti 13","urea","none","urea",168,"paper",0,0,84,84,0,0,"at planting/sidedress","split","5/12/10","6/18/10","1/1/11","spring","broadcast","surface band","none","5/2/10","8/30/10","Kansas","USA","Riley","H","74",39.19,-96.59,"CC","no-till",882,11.9,"Kennebec Silt Loam","fine-silty, mixed, superactive, mesic Cumulic Hapludolls","Mollisol","silt loam","fine",12,20,6.9,"water",3,1.74,1.3,"70",40,1.5,928,"551",775,"rainfed","0","","120","1.884","author","4","0.35","calc/raw data","0.17","calc/raw data","season","438.1",".",".",".",5.089,"author",4,1.34,"calc/raw data","0.67","calc/raw data","27.32",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Argoti 13","urea","PCF","ESN",168,"paper",0,0,168,0,0,0,"at planting","single","5/12/10","1/1/11","1/1/11","spring","broadcast","none","none","5/2/10","8/30/10","Kansas","USA","Riley","H","74",39.19,-96.59,"CC","no-till",882,11.9,"Kennebec Silt Loam","fine-silty, mixed, superactive, mesic Cumulic Hapludolls","Mollisol","silt loam","fine",12,20,6.9,"water",3,1.74,1.3,"70",40,1.5,928,"551",775,"rainfed","0","","120","1.986","author","4","1.01","calc/raw data","0.5","calc/raw data","season","492.5",".",".",".",4.772,"author",4,1.1,"calc/raw data","0.55","calc/raw data","25.43",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Argoti 13","urea","none","urea",168,"paper",0,0,168,0,0,0,"at planting","single","5/12/10","1/1/11","1/1/11","spring","surface band","none","none","5/2/10","8/30/10","Kansas","USA","Riley","H","74",39.19,-96.59,"CC","tilled",882,11.9,"Kennebec Silt Loam","fine-silty, mixed, superactive, mesic Cumulic Hapludolls","Mollisol","silt loam","fine",12,20,7.2,"water",3,1.74,1.3,"70",40,1.5,928,"551",775,"rainfed","0","","120","12.6","author","4","2.75","calc/raw data","1.37","calc/raw data","season","2072.7",".",".",".",7.194,"author",4,2.74,"calc/raw data","1.37","calc/raw data",".",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Argoti 13","urea","none","urea",168,"paper",0,0,84,84,0,0,"at planting/sidedress","split","5/12/10","6/18/10","1/1/11","spring","surface band","surface band","none","5/2/10","8/30/10","Kansas","USA","Riley","H","74",39.19,-96.59,"CC","tilled",882,11.9,"Kennebec Silt Loam","fine-silty, mixed, superactive, mesic Cumulic Hapludolls","Mollisol","silt loam","fine",12,20,7.2,"water",3,1.74,1.3,"70",40,1.5,928,"551",775,"rainfed","0","","120","7.6","author","4","1.83","calc/raw data","0.91","calc/raw data","season","2472.9",".",".",".",3.637,"author",4,1.82,"calc/raw data","0.91","calc/raw data",".",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Argoti 13","urea","PCF","ESN",168,"paper",0,0,168,0,0,0,"at planting","single","5/12/10","1/1/11","1/1/11","spring","broadcast","none","none","5/2/10","8/30/10","Kansas","USA","Riley","H","74",39.19,-96.59,"CC","tilled",882,11.9,"Kennebec Silt Loam","fine-silty, mixed, superactive, mesic Cumulic Hapludolls","Mollisol","silt loam","fine",12,20,7.2,"water",3,1.74,1.3,"70",40,1.5,928,"551",775,"rainfed","0","","120","4","author","4","2.4","calc/raw data","1.2","calc/raw data","season","1124.7",".",".",".",4.209,"author",4,2.4,"calc/raw data","1.2","calc/raw data",".",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
