,Urea,studies N,Effects N,Summary effect,Var Effect,T2,I2,Q,p(Z*),Lower 95%,Upper 95%,,
1,PCF,18,100,0.012,0.000,0.001,0.370,157.240,0.061,-0.001,0.024,,
2,nitrapyrin,5,31,0.005,0.000,0.000,0.379,48.331,0.446,-0.008,0.018,,
3,NBPT,1,39,0.028,0.000,0.000,-0.140,33.328,0.003,0.009,0.046,,
4,NBPT+DCD,8,62,0.020,0.000,0.001,0.182,74.610,0.018,0.003,0.036,,
5,S.R,5,14,0.016,0.000,0.000,-0.071,12.141,0.159,-0.006,0.037,,
,UAN,,,,,,,,,,,,
1,NBPT,2,53,0.011,0.000,0.000,-0.751,29.697,0.091,-0.002,0.024,,
2,NBPT+DCD,4,46,0.006,0.000,0.002,0.413,76.653,0.632,-0.017,0.028,,
3,thiosulfate,1,39,-0.015,0.000,0.001,0.230,49.352,0.152,-0.036,0.006,,
4,S.R,1,2,-0.007,0.001,0.000,0.284,1.396,0.787,-0.061,0.046,,
5,nitrapyrin,3,14,-0.003,0.000,0.000,-0.443,9.010,0.826,-0.025,0.020,,
,inhibitor,,,,,,,,,,,,
1,nitrapyrin,14,21,0.012,0.000,0.000,0.093,22.051,0.053,0.000,0.025,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,LRR,,RR,
,Urea,studies N,Effects N,Summary effect (LRRx10^-2),Var Effect (VLRR*10^-4),T2(x 10^-4,I2,Q,p(Z*),Lower 95%,Upper 95%,,
1,PCF,18,100,1.193,0.406,12.120,37%,157.2,0.061,-0.057,2.442,0.999,1.025
2,nitrapyrin,5,31,0.495,0.421,4.419,38%,48.3,0.446,-0.777,1.767,0.992,1.018
3,NBPT,1,39,2.774,0.882,0.000,0%,33.3,0.003,0.933,4.614,1.009,1.047
4,NBPT+DCD,8,62,1.979,0.704,7.270,18%,74.6,0.018,0.334,3.624,1.003,1.037
5,S.R,5,14,1.567,1.235,0.000,0%,12.1,0.159,-0.611,3.746,0.994,1.038
,UAN,,,,,,,,,,,,
1,NBPT,2,53,1.132,0.449,0.000,0%,29.7,0.091,-0.182,2.446,0.998,1.025
2,NBPT+DCD,4,46,0.554,1.343,22.056,41%,76.7,0.632,-1.717,2.826,0.983,1.029
3,thiosulfate,1,39,-1.538,1.151,9.613,23%,49.4,0.152,-3.641,0.565,0.964,1.006
4,S.R,1,2,-0.734,7.384,4.203,28%,1.4,0.787,-6.060,4.592,0.941,1.047
5,nitrapyrin,3,14,-0.254,1.340,0.000,0%,9.0,0.826,-2.523,2.015,0.975,1.020
,AA,,,,,,,,,,,,
1,nitrapyrin,14,21,1.240,0.409,0.766,9%,22.1,0.053,-0.014,2.494,1.000,1.025
