Urea,studies N,Effects N,Summary effect,Var Effect,T2,I2,Q,Z*,p(Z*),Lower 95%,Upper 95%,,
NBPT,1,20,0.259,0.019,0.000,-0.604,11.848,1.889,0.059,-0.010,0.529,,
PCF,11,50,0.043,0.005,0.014,0.052,51.703,0.589,0.556,-0.100,0.186,,
NBPT+DCD,2,21,0.126,0.032,0.253,0.401,33.402,0.702,0.482,-0.225,0.477,,
S.R,5,10,0.170,0.020,0.000,-0.037,8.677,1.204,0.228,-0.107,0.447,,
nitrapyrin,4,30,0.069,0.007,0.066,0.376,46.468,0.850,0.395,-0.090,0.227,,
UAN,studies N,Effects N,Summary effect,Var Effect,T2,I2,Q,Z*,p(Z*),Lower 95%,Upper 95%,,
NBPT,2,23,-0.002,0.010,0.000,-0.556,14.138,-0.016,0.987,-0.200,0.197,,
NBPT+DCD,1,20,-0.066,0.028,0.155,0.302,27.239,-0.390,0.697,-0.396,0.265,,
thiosulfate,1,20,-0.089,0.026,0.121,0.263,25.774,-0.551,0.582,-0.404,0.227,,
nitrapyrin,3,14,-0.030,0.018,0.000,-0.459,8.910,-0.224,0.823,-0.295,0.235,,
AA,studies N,Effects N,Summary effect,Var Effect,T2,I2,Q,Z*,p(Z*),Lower 95%,Upper 95%,,
nitrapyrin,14,20,0.102,0.007,0.005,0.034,19.664,1.205,0.228,-0.064,0.267,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
