"","Author","Source","Inhibitor","Name","ratetot","ratetot.source","ratefall","ratepreplantspring","rateatplantoremerg","ratesidedresspostemerg","ratesplit2","ratesplit3","apptime","split","dateN","datesplit","datesplit2","fallorspring","place","place2","slope","dateplant","dateharvest","state","country","county","LRR","MLRA","lat","lon","rot","till","MAP.worldclim..mm.","MAT","sseries","sclass","sorder","stext","stextgrp","sand","clay","pH","pHmeth","SOM","SOC","bulkdensity","WFPS","tempmax","tempmin","precipann","preciprep","precipest","irrig","irrigapp","drainage","n2o.days","n2o","n2o.source","n2o.n","n2o.sd","n2o.sd.source","n2o.se","n2o.se.source","n2o.per","n2o.yldsc","n2o.yldsc.source","n2o.yldsc.se","n2o.yldsc.se..source","yld","yield.source","yld.n","yld.sd","yld.sd.source","yld.se","yld.se.source","NUE","plotsize.m2","leach","leach.source","leach.n","leach.sd","leach.sd.source","leach.se","leach.se.source","leach.yldsc","leach.yldsc.se","reps","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9"
"73","Ebelhar 07","UAN","none","UAN",67,"author",0,0,67,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",9.97,"author",4,0.36,"calc/raw data","0.18","calc/raw data","37",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Ebelhar 07","UAN","none","UAN",134,"author",0,0,134,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",11.22,"author",4,0.74,"calc/raw data","0.37","calc/raw data","28.92",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Ebelhar 07","UAN","NBPT","UAN+Agrotain",67,"author",0,0,67,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",10.08,"author",4,0.9,"calc/raw data","0.45","calc/raw data","38.83",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Ebelhar 07","UAN","NBPT","UAN+Agrotain",134,"author",0,0,134,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",11.3,"author",4,0.99,"calc/raw data","0.49","calc/raw data","29.58",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Ebelhar 07","UAN","NBPT+DCD","UAN+Agrotain+",67,"author",0,0,67,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",9.67,"author",4,0.65,"calc/raw data","0.32","calc/raw data","32",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Ebelhar 07","UAN","NBPT+DCD","UAN+Agrotain+",134,"author",0,0,134,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",12.16,"author",4,0.87,"calc/raw data","0.43","calc/raw data","36.75",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Ebelhar 07","UAN","thiosulfate","UAN cats",67,"author",0,0,67,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",9.91,"author",4,1.07,"calc/raw data","0.54","calc/raw data","36",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Ebelhar 07","UAN","thiosulfate","UAN cats",134,"author",0,0,134,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",11.94,"author",4,1.18,"calc/raw data","0.59","calc/raw data","34.92",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Ebelhar 07","UAN","none","UAN",67,"author",0,0,0,67,0,0,"sidedress","single",".","1/1/11","1/1/11","spring","subsurface band","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",10.29,"author",4,1.46,"calc/raw data","0.73","calc/raw data","42.33",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Ebelhar 07","UAN","none","UAN",134,"author",0,0,0,134,0,0,"sidedress","single",".","1/1/11","1/1/11","spring","subsurface band","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",12.25,"author",4,0.93,"calc/raw data","0.46","calc/raw data","37.5",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
