"","study","source","inhibitor","mean.ctrl","sd.ctrl","n.ctrl","mean.trt","sd.trt","n.trt","ratetot","ratefall","ratepreplantspring","rateatplantoremerg","ratesidedresspostemerg","ratesplit2","ratesplit3","apptime","split","fallorspring","place","place2","dateplant","county","rot","till","effect size","var. effect size","R.E. weight"
"53","Ebelhar 07","urea","NBPT",9.66,0.7,4,10.25,0.48,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0592840573599905,0.00186099451459727,537.347097025917
"54","Ebelhar 07","urea","NBPT",11.52,1.17,4,11.99,0.12,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0399883137716777,0.00260377707037043,384.057456907297
"98","Ebelhar 07","urea","NBPT",9.87,0.6,4,10.02,1.35,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.0150832422113285,0.00546194386932398,183.08500122389
"99","Ebelhar 07","urea","NBPT",11.04,0.98,4,11.77,1.07,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.0640288804232361,0.00403606030445372,247.766367340081
"138","Ebelhar 07","urea","NBPT",10.31,0.71,4,10.56,1.02,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.0239589802492469,0.00351805416448975,284.24803975269
"139","Ebelhar 07","urea","NBPT",12.36,1.28,4,13.18,0.14,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.0642350770448165,0.00270936924013398,369.089596643738
"183","Ebelhar 07","urea","NBPT",10.89,0.99,4,9.85,1.11,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.100373481760872,0.00524089474857689,190.807113665379
"184","Ebelhar 07","urea","NBPT",12.9,1.17,4,12.84,1.26,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.0046620131058113,0.00446393253103884,224.017722724694
"223","Ebelhar 07","urea","NBPT",8.16,0.98,4,8.11,1.14,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",-0.00614630084869418,0.00854566925415344,117.018336453166
"224","Ebelhar 07","urea","NBPT",8.26,0.79,4,9.16,1.07,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.103421591153152,0.0056981052342974,175.496934310885
"268","Ebelhar 07","urea","NBPT",7.75,0.35,4,8.17,0.71,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",0.0527760655066559,0.00239793163104175,417.026068239304
"269","Ebelhar 07","urea","NBPT",7.97,0.64,4,8.45,0.88,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",0.0584819485669588,0.00432345749631407,231.296364276171
"308","Ebelhar 07","urea","NBPT",9.12,0.7,4,8.65,0.91,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","DeKalb","CC","tilled",-0.052910483142452,0.00423969056104629,235.866270332997
"309","Ebelhar 07","urea","NBPT",10.8,0.87,4,11.53,0.87,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","DeKalb","CC","tilled",0.0654062001507935,0.00304567623664137,328.334308147853
"353","Ebelhar 07","urea","NBPT",9.24,1.56,4,8.46,0.47,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",-0.0881927120354608,0.00789759583049626,126.62081239186
"354","Ebelhar 07","urea","NBPT",11.51,1.62,4,10.93,1.11,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",-0.0517049205453441,0.00753081430614331,132.787764954481
"393","Ebelhar 07","urea","NBPT",9.14,0.95,4,9.02,0.46,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Champaign","CC","tilled",-0.0132160513915265,0.00335100840306259,298.417634251847
"394","Ebelhar 07","urea","NBPT",9.78,1.24,4,9.79,1,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Champaign","CC","tilled",0.00102197249569297,0.00662728843985298,150.891274625461
"438","Ebelhar 07","urea","NBPT",8.77,0.82,4,9.15,0.9,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Champaign","CC","tilled",0.0424170729033383,0.00460429380273283,217.188572850512
"439","Ebelhar 07","urea","NBPT",9.69,0.98,4,10.12,0.68,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Champaign","CC","tilled",0.0434192379566446,0.003685829230409,271.309368255522
"531","Ebelhar 07","urea","PCF",9.66,0.7,4,10.56,1.35,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0890796300536889,0.00539857393168777,181.852992384811
"541","Ebelhar 07","urea","PCF",11.52,1.17,4,11.62,1.8,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.00864309615602001,0.00857765110308593,115.233601484015
"981","Ebelhar 07","urea","PCF",9.87,0.6,4,10.57,0.89,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.0685199464367561,0.00269629823766493,357.567917549128
"991","Ebelhar 07","urea","PCF",11.04,0.98,4,11.68,1.29,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.0563529365511318,0.00501948045532397,195.318080849227
"1381","Ebelhar 07","urea","PCF",10.31,0.71,4,10.56,0.35,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.0239589802492469,0.00146023341437496,640.776451025389
"1391","Ebelhar 07","urea","PCF",12.36,1.28,4,12.76,0.65,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.0318498258870992,0.00332989377519615,291.522494483412
"1831","Ebelhar 07","urea","PCF",10.89,0.99,4,10.26,1.62,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.0595920972022457,0.00829880268308876,119.059299142864
"1841","Ebelhar 07","urea","PCF",12.9,1.17,4,12.07,1.38,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.0665042762581863,0.00532452902649698,184.335117756457
"2231","Ebelhar 07","urea","PCF",8.16,0.98,4,7.59,0.89,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",-0.0724125775684772,0.00704333539214518,139.98331259851
"2241","Ebelhar 07","urea","PCF",8.26,0.79,4,9.15,0.77,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.102329291754543,0.00405726321796293,240.521269150712
"2681","Ebelhar 07","urea","PCF",7.75,0.35,4,8.15,0.61,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",0.0503250838875158,0.00191038988307162,497.323619790027
"2691","Ebelhar 07","urea","PCF",7.97,0.64,4,8.38,0.42,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",0.0501634216918681,0.00224005469266144,427.272287118279
"3531","Ebelhar 07","urea","PCF",9.24,1.56,4,8.44,0.58,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",-0.0905595770457271,0.00830661351974875,118.948682489846
"3541","Ebelhar 07","urea","PCF",11.51,1.62,4,10.78,1.05,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",-0.0655236572529402,0.00732425840911076,134.686816246335
"3931","Ebelhar 07","urea","PCF",9.14,0.95,4,9.12,0.87,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Champaign","CC","tilled",-0.00219058137981881,0.00497585389714708,196.996700692224
"3941","Ebelhar 07","urea","PCF",9.78,1.24,4,9.44,0.86,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Champaign","CC","tilled",-0.0353835038893166,0.00609376554014918,161.442943698845
"4381","Ebelhar 07","urea","PCF",8.77,0.82,4,8.99,1.13,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Champaign","CC","tilled",0.0247760420994373,0.00613541104181188,160.364751756124
"4391","Ebelhar 07","urea","PCF",9.69,0.98,4,10.36,0.97,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Champaign","CC","tilled",0.0668578109286622,0.00474869520764441,206.225176791136
"479","Fernandez 14","urea","PCF",8.45,0.8,4,7.28,1.21,4,110,0,110,0,0,0,0,"preplant","single","spring","broadcast incorp.","none","6/17/09","Champaign","CC","tilled",-0.149035579160488,0.00914715846730485,108.136963521034
"625","Halvorson 14","urea","PCF",8.964,1.113,4,9.658,0.68,4,56,0,56,0,0,0,0,"preplant","single","spring","broadcast incorp.","none","4/27/09","Otero","CC","tilled",0.0745700315126695,0.00509345242972351,192.536303992126
"627","Halvorson 14","urea","PCF",11.587,1.285,4,11.194,0.515,4,112,0,112,0,0,0,0,"preplant","single","spring","broadcast incorp.","none","4/27/09","Otero","CC","tilled",-0.0345058595457574,0.00360386680202266,269.960905851271
"637","Halvorson 14","urea","PCF",9.865,0.844,4,10.224,0.453,4,112,0,112,0,0,0,0,"preplant","single","spring","broadcast incorp.","none","4/28/10","Otero","CC","tilled",0.0357447581606002,0.00232070308011135,413.039435173009
"649","Halvorson 14","urea","PCF",7.79,1.561,4,8.657,0.742,4,112,0,112,0,0,0,0,"preplant","single","spring","broadcast incorp.","none","4/22/11","Otero","CC","tilled",0.10552738235098,0.0118751412402333,83.5037192594378
"887","Randall 03","urea","PCF",11.6,1.93,4,11.3,0.83,4,67.2,67.2,0,0,0,0,0,"fall","single","fall","subsurface band","none","4/28/03","Waseca","CS","tilled",-0.026202372394024,0.00826929310314563,119.479075721485
"888","Randall 03","urea","PCF",12.72,1.83,4,13.48,2.1,4,112,112,0,0,0,0,0,"fall","single","fall","subsurface band","none","4/28/03","Waseca","CS","tilled",0.0580315475721848,0.0112418416501578,88.166201115157
"892","Randall 03","urea","PCF",11.04,1.59,4,10.99,2.21,4,67.2,0,67.2,0,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/28/03","Waseca","CS","tilled",-0.00453927243341911,0.0152950535707696,64.9543537588182
"893","Randall 03","urea","PCF",12.04,2.54,4,12.16,1.9,4,112,0,112,0,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/28/03","Waseca","CS","tilled",0.00991743665734614,0.0172299104771539,57.7024597940754
"900","Randall 04","urea","PCF",8.76,0.19,4,8.61,0.41,4,67.2,67.2,0,0,0,0,0,"fall","single","fall","surface band","none","5/1/04","Waseca","CS","tilled",-0.0172715865086607,0.000684502001839079,1274.08782140624
"901","Randall 04","urea","PCF",10.25,0.85,4,10.52,0.84,4,112,112,0,0,0,0,0,"fall","single","fall","surface band","none","5/1/04","Waseca","CS","tilled",0.0260005017251466,0.00331313688587047,292.953575681714
"906","Randall 04","urea","PCF",9.04,0.93,4,9.52,0.72,4,67.2,0,0,67.2,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/1/04","Waseca","CS","tilled",0.0517356743991889,0.00407585706465446,239.450395356063
"907","Randall 04","urea","PCF",11.25,0.89,4,11.06,0.62,4,112,0,0,112,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/1/04","Waseca","CS","tilled",-0.0170331325562404,0.00235026306559702,408.057284361886
"914","Randall 05","urea","PCF",8.51,0.47,4,8.87,0.63,4,67.2,67.2,0,0,0,0,0,"fall","single","fall","subsurface band","none","5/2/05","Waseca","CS","tilled",0.0414328537362053,0.00202373522333564,470.785749616436
"915","Randall 05","urea","PCF",9.43,1.01,4,10.4,0.26,4,112,112,0,0,0,0,0,"fall","single","fall","subsurface band","none","5/2/05","Waseca","CS","tilled",0.097909709501961,0.00302411940440754,320.051960599689
"920","Randall 05","urea","PCF",9.75,0.52,4,9.14,0.66,4,67.2,0,0,67.2,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/2/05","Waseca","CS","tilled",-0.0646068995436971,0.00201468450624348,472.800327524643
"921","Randall 05","urea","PCF",9.79,0.25,4,10.21,0.52,4,112,0,0,112,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/2/05","Waseca","CS","tilled",0.0420061756341554,0.000811503110171235,1096.63989923649
"933","Randall 06 fsp","urea","PCF",13.82,1.44,4,13.94,1.03,4,112,112,0,0,0,0,0,"fall","single","fall","subsurface band","none","4/23/06","Waseca","CS","tilled",0.00864558699285403,0.00407910665526901,239.264220096225
"935","Randall 06 fsp","urea","PCF",14.07,0.51,4,13.22,1.05,4,112,112,0,0,0,0,0,"fall","single","fall","broadcast incorp.","none","4/23/06","Waseca","CS","tilled",-0.0623140367027574,0.00190555448141669,498.522446356017
"940","Randall 06 fsp","urea","PCF",13.79,1.21,4,13.59,1.52,4,112,0,112,0,0,0,0,"preplant","single","spring","broadcast incorp.","none","4/23/06","Waseca","CS","tilled",-0.0146094636421581,0.00505221981030649,194.077038153193
"951","Randall 07 fsp","urea","PCF",10.96,0.53,4,11.08,0.63,4,112,112,0,0,0,0,0,"fall","single","fall","subsurface band","none","4/25/07","Waseca","CS","tilled",0.0108893997992681,0.00139285824290614,669.688527591624
"953","Randall 07 fsp","urea","PCF",10.8,0.46,4,10.48,0.62,4,112,112,0,0,0,0,0,"fall","single","fall","broadcast incorp.","none","4/25/07","Waseca","CS","tilled",-0.030077455237278,0.00132851766802402,699.843485052956
"958","Randall 07 fsp","urea","PCF",11.38,0.65,4,10.81,0.51,4,112,0,112,0,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/25/07","Waseca","CS","tilled",-0.051385797047068,0.00137206297497658,679.146561917387
"970","Randall 08 fsp","urea","PCF",13.05,0.49,4,11.79,0.5,4,112,112,0,0,0,0,0,"fall","single","fall","surface band","none","5/1/08","Waseca","CS","tilled",-0.101536419219423,0.00080208808732381,1108.08071035705
"972","Randall 08 fsp","urea","PCF",12.24,0.51,4,12.74,0.53,4,112,112,0,0,0,0,0,"fall","single","fall","broadcast","none","5/1/08","Waseca","CS","tilled",0.0400373730598373,0.00086669390062107,1034.05435610884
"977","Randall 08 fsp","urea","PCF",13.01,1.11,4,12.52,0.63,4,112,0,112,0,0,0,0,"at planting","single","spring","broadcast","none","5/1/08","Waseca","CS","tilled",-0.0383909268524614,0.00245284505596776,391.662552930849
"989","Randall 09 fsp","urea","PCF",14.27,0.69,4,14.68,1.08,4,112,112,0,0,0,0,0,"fall","single","fall","subsurface band","none","4/17/09","Waseca","CS","tilled",0.0283265916976244,0.00193762489076858,490.677582023699
"9911","Randall 09 fsp","urea","PCF",14.59,0.44,4,14.56,0.45,4,112,112,0,0,0,0,0,"fall","single","fall","broadcast incorp.","none","4/17/09","Waseca","CS","tilled",-0.00205831976615436,0.000466175225078044,1765.07402907513
"996","Randall 09 fsp","urea","PCF",13.96,1,4,13.79,0.83,4,112,0,112,0,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/17/09","Waseca","CS","tilled",-0.0122524055290161,0.0021884953499509,436.897076536244
"1008","Randall 10 fsp","urea","PCF",13.36,0.62,4,13.3,0.31,4,112,112,0,0,0,0,0,"fall","single","fall","subsurface band","none","4/20/10","Waseca","CS","tilled",-0.00450113288079154,0.000674225589979623,1290.99083044526
"1010","Randall 10 fsp","urea","PCF",12.54,0.94,4,12.48,0.38,4,112,112,0,0,0,0,0,"fall","single","fall","broadcast incorp.","none","4/20/10","Waseca","CS","tilled",-0.00479617226349294,0.00163653628832138,575.735222703054
"1015","Randall 10 fsp","urea","PCF",12.42,0.15,4,12.67,0.46,4,112,0,112,0,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/10","Waseca","CS","tilled",0.0199289178277151,0.000366000940355417,2144.20098744838
"532","Ebelhar 07","urea","NBPT+DCD",9.66,0.7,4,10.34,1.11,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0680262208558565,0.0041937602383984,139.50455714688
"542","Ebelhar 07","urea","NBPT+DCD",11.52,1.17,4,12.68,1.04,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0959412937413347,0.00426051146636113,138.21746224813
"982","Ebelhar 07","urea","NBPT+DCD",9.87,0.6,4,10.58,0.6,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.0694655729847632,0.00172789234137555,212.659323963079
"992","Ebelhar 07","urea","NBPT+DCD",11.04,0.98,4,12.21,0.75,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.100730247273664,0.00291320414474252,169.846518518577
"1382","Ebelhar 07","urea","NBPT+DCD",10.31,0.71,4,10.41,0.38,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.00965258459800897,0.00151872709683363,222.558955393302
"1392","Ebelhar 07","urea","NBPT+DCD",12.36,1.28,4,12.33,0.84,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",-0.00243013485329178,0.00384146740212528,146.715083561873
"1832","Ebelhar 07","urea","NBPT+DCD",10.89,0.99,4,9.61,0.46,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.125040713962668,0.0026389234675437,178.145538546953
"1842","Ebelhar 07","urea","NBPT+DCD",12.9,1.17,4,11.89,1.39,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.081529600664936,0.00547320958023847,118.37578077547
"2232","Ebelhar 07","urea","NBPT+DCD",8.16,0.98,4,6.67,0.38,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",-0.201624309048483,0.00441732311464476,135.285274585575
"2242","Ebelhar 07","urea","NBPT+DCD",8.26,0.79,4,7.52,0.78,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",-0.0938584495711383,0.00497646728336478,125.771424427684
