"","study","source","inhibitor","mean.ctrl","sd.ctrl","n.ctrl","mean.trt","sd.trt","n.trt","ratetot","ratefall","ratepreplantspring","rateatplantoremerg","ratesidedresspostemerg","ratesplit2","ratesplit3","apptime","split","fallorspring","place","place2","dateplant","county","rot","till","effect size","var. effect size","R.E. weight"
"73","Ebelhar 07","UAN","NBPT",9.97,0.36,4,10.08,0.9,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0109726786694755,0.00231893747700125,431.231980127881
"74","Ebelhar 07","UAN","NBPT",11.22,0.74,4,11.3,0.99,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.00710482562374458,0.00300637628615549,332.626359715865
"75","Ebelhar 07","UAN","NBPT",11.95,0.62,4,12.86,0.73,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0733904404319536,0.00147852834724292,676.348209261421
"76","Ebelhar 07","UAN","NBPT",12.65,0.96,4,12.75,0.57,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.00787405643090587,0.00193945150771131,515.609694815247
"118","Ebelhar 07","UAN","NBPT",10.08,0.98,4,10.72,0.72,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.0615578929994334,0.00349079686215138,286.467542939093
"119","Ebelhar 07","UAN","NBPT",11.81,1.2,4,12.08,1.09,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.0226045622973979,0.00461653126409508,216.612851249913
"120","Ebelhar 07","UAN","NBPT",12.8,0.72,4,13.13,0.29,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.0254545173891334,0.000912972574341896,1095.3231543903
"121","Ebelhar 07","UAN","NBPT",13.55,0.93,4,13.54,0.54,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",-0.000738279841581073,0.00157532016562606,634.791594635989
"158","Ebelhar 07","UAN","NBPT",9.98,1.42,4,10.65,0.59,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.0649768018320615,0.00582848864454699,171.571064299075
"159","Ebelhar 07","UAN","NBPT",12.45,1.38,4,13.36,0.37,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.0705445451977832,0.00326331122842362,306.437213616018
"160","Ebelhar 07","UAN","NBPT",13.34,1,4,13.65,0.42,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.0229724811434912,0.00164153119451736,609.187326649628
"161","Ebelhar 07","UAN","NBPT",13.39,0.45,4,14.6,1.64,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.0865133690112096,0.00343679844180558,290.968474565134
"203","Ebelhar 07","UAN","NBPT",9.94,1.02,4,9.89,1.48,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.00504287503386179,0.00823098452069553,121.492149266671
"204","Ebelhar 07","UAN","NBPT",11.55,1.28,4,11.78,1.59,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",0.0197177412556381,0.00762493837311191,131.148600954774
"205","Ebelhar 07","UAN","NBPT",12.52,1.53,4,12.32,1.36,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.0161034075665787,0.0067799498162289,147.493717078309
"206","Ebelhar 07","UAN","NBPT",13.9,2.55,4,12.23,1.59,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.127996890437565,0.0126393040757406,79.1182800894364
"243","Ebelhar 07","UAN","NBPT",6.93,1.41,4,7.27,1.03,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.0478964783436161,0.0153674918712569,65.0724274577546
"244","Ebelhar 07","UAN","NBPT",8.17,0.64,4,7.9,0.09,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",-0.0336061493989357,0.00156655440146049,638.343615177171
"245","Ebelhar 07","UAN","NBPT",7.87,0.56,4,8.02,0.33,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.0188803594491112,0.00168907601268849,592.039666946847
"246","Ebelhar 07","UAN","NBPT",7.23,1.21,4,7.43,1.13,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.0272868225589944,0.012784742541905,78.218235269288
"288","Ebelhar 07","UAN","NBPT",7.58,0.44,4,7.2,0.46,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",-0.0514321736322707,0.00186282540347717,536.818962278155
