"","study","source","inhibitor","mean.ctrl","sd.ctrl","n.ctrl","mean.trt","sd.trt","n.trt","ratetot","ratefall","ratepreplantspring","rateatplantoremerg","ratesidedresspostemerg","ratesplit2","ratesplit3","apptime","split","fallorspring","place","place2","dateplant","county","rot","till","effect size","var. effect size","R.E. weight"
"73","Ebelhar 07","UAN","NBPT",9.97,0.36,4,10.08,0.9,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.109999999999999,0.2349,4.2571306939123
"74","Ebelhar 07","UAN","NBPT",11.22,0.74,4,11.3,0.99,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0800000000000001,0.381925,2.618315114224
"75","Ebelhar 07","UAN","NBPT",11.95,0.62,4,12.86,0.73,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.91,0.229325,4.36062356917039
"76","Ebelhar 07","UAN","NBPT",12.65,0.96,4,12.75,0.57,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0999999999999996,0.311625,3.20898515844364
"118","Ebelhar 07","UAN","NBPT",10.08,0.98,4,10.72,0.72,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.640000000000001,0.3697,2.70489586150933
"119","Ebelhar 07","UAN","NBPT",11.81,1.2,4,12.08,1.09,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.27,0.657025,1.5220120999962
"120","Ebelhar 07","UAN","NBPT",12.8,0.72,4,13.13,0.29,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.33,0.150625,6.63900414937759
"121","Ebelhar 07","UAN","NBPT",13.55,0.93,4,13.54,0.54,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",-0.0100000000000016,0.289125,3.45871162991786
"158","Ebelhar 07","UAN","NBPT",9.98,1.42,4,10.65,0.59,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.67,0.591125,1.69168957496299
"159","Ebelhar 07","UAN","NBPT",12.45,1.38,4,13.36,0.37,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.91,0.510325,1.95953559006515
"160","Ebelhar 07","UAN","NBPT",13.34,1,4,13.65,0.42,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.31,0.2941,3.40020401224073
"161","Ebelhar 07","UAN","NBPT",13.39,0.45,4,14.6,1.64,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",1.21,0.723025,1.38307804017842
"203","Ebelhar 07","UAN","NBPT",9.94,1.02,4,9.89,1.48,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.0499999999999989,0.8077,1.23808344682432
"204","Ebelhar 07","UAN","NBPT",11.55,1.28,4,11.78,1.59,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",0.229999999999999,1.041625,0.960038401536061
"205","Ebelhar 07","UAN","NBPT",12.52,1.53,4,12.32,1.36,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.199999999999999,1.047625,0.954540031022551
"206","Ebelhar 07","UAN","NBPT",13.9,2.55,4,12.23,1.59,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-1.67,2.25765,0.442938453701858
"243","Ebelhar 07","UAN","NBPT",6.93,1.41,4,7.27,1.03,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.34,0.76225,1.31190554280092
"244","Ebelhar 07","UAN","NBPT",8.17,0.64,4,7.9,0.09,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",-0.27,0.104425,9.57625089777352
"245","Ebelhar 07","UAN","NBPT",7.87,0.56,4,8.02,0.33,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.149999999999999,0.105625,9.46745562130177
"246","Ebelhar 07","UAN","NBPT",7.23,1.21,4,7.43,1.13,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.199999999999999,0.68525,1.45932141554177
"288","Ebelhar 07","UAN","NBPT",7.58,0.44,4,7.2,0.46,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",-0.38,0.1013,9.87166831194472
"289","Ebelhar 07","UAN","NBPT",8.13,0.76,4,8.23,0.87,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",0.0999999999999996,0.333625,2.99737729486699
"290","Ebelhar 07","UAN","NBPT",8.75,0.74,4,8.43,0.72,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",-0.32,0.2665,3.75234521575985
"291","Ebelhar 07","UAN","NBPT",8.36,0.29,4,8.81,0.46,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",0.450000000000001,0.073925,13.527223537369
"328","Ebelhar 07","UAN","NBPT",8.52,0.68,4,8.31,0.54,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/8/07","DeKalb","CC","tilled",-0.209999999999999,0.1885,5.30503978779841
"329","Ebelhar 07","UAN","NBPT",10.63,1.27,4,10.77,1.33,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/8/07","DeKalb","CC","tilled",0.139999999999999,0.84545,1.18280205807558
"330","Ebelhar 07","UAN","NBPT",11.82,0.66,4,11.58,0.94,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/8/07","DeKalb","CC","tilled",-0.24,0.3298,3.03214069132808
"331","Ebelhar 07","UAN","NBPT",12.26,1,4,12.49,0.67,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/8/07","DeKalb","CC","tilled",0.23,0.362225,2.76071502519152
"373","Ebelhar 07","UAN","NBPT",7.16,1.19,4,9.16,1.83,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",2,1.19125,0.839454354669465
"374","Ebelhar 07","UAN","NBPT",9.63,1.03,4,10.38,1.17,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",0.75,0.60745,1.64622602683348
"375","Ebelhar 07","UAN","NBPT",11.5,1.17,4,11.82,1.06,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",0.32,0.623125,1.60481444332999
"376","Ebelhar 07","UAN","NBPT",11.9,0.33,4,11.82,0.56,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",-0.0800000000000001,0.105625,9.46745562130177
"413","Ebelhar 07","UAN","NBPT",8.07,0.85,4,8.12,0.6,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Champaign","CC","tilled",0.0499999999999989,0.270625,3.69515011547344
"414","Ebelhar 07","UAN","NBPT",8.92,1.15,4,8.56,0.27,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Champaign","CC","tilled",-0.359999999999999,0.34885,2.86656155940949
"415","Ebelhar 07","UAN","NBPT",9.08,1.17,4,8.96,0.42,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Champaign","CC","tilled",-0.119999999999999,0.386325,2.588494143532
