"","study","source","inhibitor","mean.ctrl","sd.ctrl","n.ctrl","mean.trt","sd.trt","n.trt","ratetot","ratefall","ratepreplantspring","rateatplantoremerg","ratesidedresspostemerg","ratesplit2","ratesplit3","apptime","split","fallorspring","place","place2","dateplant","county","rot","till","effect size","var. effect size","R.E. weight"
"7","Argoti 13","urea","PCF",3.846,1.1,4,3.7765,1.29259429056452,8,168,0,0,168,0,0,0,"at planting","single","spring","broadcast","none","5/2/10","Riley","CC","no-till",-0.0182359923952224,0.0350944937691215,27.5433033806098
"531","Ebelhar 07","urea","PCF",9.66,0.7,4,10.56,1.35,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0890796300536889,0.00539857393168777,151.273437592713
"541","Ebelhar 07","urea","PCF",11.52,1.17,4,11.62,1.8,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.00864309615602001,0.00857765110308593,102.148979026179
"551","Ebelhar 07","urea","PCF",12.29,1.2,4,12.16,1.48,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",-0.0106340470399224,0.00608677293232368,137.009857998972
"561","Ebelhar 07","urea","PCF",12.75,0.75,4,13.36,0.59,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0467338965040645,0.00135261532417625,389.926289418479
"981","Ebelhar 07","urea","PCF",9.87,0.6,4,10.57,0.89,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.0685199464367561,0.00269629823766493,255.867673367479
"991","Ebelhar 07","urea","PCF",11.04,0.98,4,11.68,1.29,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.0563529365511318,0.00501948045532397,160.476231676909
"1001","Ebelhar 07","urea","PCF",11.87,0.46,4,12.8,0.57,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.0754309623039949,0.000871209894118951,480.034905481417
"1011","Ebelhar 07","urea","PCF",12.52,1.62,4,12.63,0.73,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.00874757069044741,0.00502081321743695,160.441916898549
"1381","Ebelhar 07","urea","PCF",10.31,0.71,4,10.56,0.35,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.0239589802492469,0.00146023341437496,374.222734918806
"1391","Ebelhar 07","urea","PCF",12.36,1.28,4,12.76,0.65,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.0318498258870992,0.00332989377519615,220.173836115053
