"","study","source","inhibitor","mean.ctrl","sd.ctrl","n.ctrl","mean.trt","sd.trt","n.trt","ratetot","ratefall","ratepreplantspring","rateatplantoremerg","ratesidedresspostemerg","ratesplit2","ratesplit3","apptime","split","fallorspring","place","place2","dateplant","county","rot","till","effect size","var. effect size","R.E. weight"
"7","Argoti 13","urea","PCF",3.846,1.1,4,3.7765,1.29259429056452,8,168,0,0,168,0,0,0,"at planting","single","spring","broadcast","none","5/2/10","Riley","CC","no-till",-0.0695000000000001,0.511349999999999,1.48923746866454
"531","Ebelhar 07","urea","PCF",9.66,0.7,4,10.56,1.35,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.9,0.578125,1.35453710809037
"541","Ebelhar 07","urea","PCF",11.52,1.17,4,11.62,1.8,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.0999999999999996,1.152225,0.761986282782748
"551","Ebelhar 07","urea","PCF",12.29,1.2,4,12.16,1.48,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",-0.129999999999999,0.9076,0.936562340791794
"561","Ebelhar 07","urea","PCF",12.75,0.75,4,13.36,0.59,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast incorp.","none","4/20/07","St . Clair","CC","tilled",0.609999999999999,0.22765,2.57875130919825
"981","Ebelhar 07","urea","PCF",9.87,0.6,4,10.57,0.89,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.700000000000001,0.288025,2.23134802620121
"991","Ebelhar 07","urea","PCF",11.04,0.98,4,11.68,1.29,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.640000000000001,0.656125,1.22510047213951
"1001","Ebelhar 07","urea","PCF",11.87,0.46,4,12.8,0.57,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.930000000000001,0.134125,3.39836001686706
"1011","Ebelhar 07","urea","PCF",12.52,1.62,4,12.63,0.73,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast","none","4/20/07","St . Clair","CC","tilled",0.110000000000001,0.789325,1.05323072024701
"1381","Ebelhar 07","urea","PCF",10.31,0.71,4,10.56,0.35,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.25,0.15665,3.15671928183535
"1391","Ebelhar 07","urea","PCF",12.36,1.28,4,12.76,0.65,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.4,0.515225,1.48069269438433
"1401","Ebelhar 07","urea","PCF",13.67,0.81,4,13.8,0.75,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.130000000000001,0.30465,2.15153436127682
"1411","Ebelhar 07","urea","PCF",14.44,1.35,4,14.89,0.62,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/22/07","Pope","CC","tilled",0.450000000000001,0.551725,1.40477142470134
"1831","Ebelhar 07","urea","PCF",10.89,0.99,4,10.26,1.62,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.630000000000001,0.901125,0.942276532923673
"1841","Ebelhar 07","urea","PCF",12.9,1.17,4,12.07,1.38,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.83,0.818325,1.0220146215638
"1851","Ebelhar 07","urea","PCF",13.74,1.11,4,13.22,1.34,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",-0.52,0.756925,1.09044168885192
"1861","Ebelhar 07","urea","PCF",13.06,2.4,4,13.25,0.89,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast","none","5/22/07","Pope","CC","tilled",0.19,1.638025,0.556124167004382
"2231","Ebelhar 07","urea","PCF",8.16,0.98,4,7.59,0.89,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",-0.57,0.438125,1.67151522370483
"2241","Ebelhar 07","urea","PCF",8.26,0.79,4,9.15,0.77,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.890000000000001,0.30425,2.15338759623941
"2251","Ebelhar 07","urea","PCF",8.74,1.64,4,8.3,0.84,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",-0.44,0.8488,0.991144537288672
"2261","Ebelhar 07","urea","PCF",7.9,1.28,4,8.46,0.62,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast incorp.","none","5/18/07","Massac","CC","tilled",0.56,0.5057,1.50187452885661
"2681","Ebelhar 07","urea","PCF",7.75,0.35,4,8.15,0.61,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",0.4,0.12365,3.52379960507083
"2691","Ebelhar 07","urea","PCF",7.97,0.64,4,8.38,0.42,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",0.410000000000001,0.1465,3.26121075974255
"2701","Ebelhar 07","urea","PCF",8.11,0.73,4,9,0.13,4,201,0,0,201,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",0.890000000000001,0.13745,3.36038914163441
"2711","Ebelhar 07","urea","PCF",8.36,1.27,4,8.42,1.21,4,268,0,0,268,0,0,0,"at planting","single","spring","broadcast","none","5/18/07","Massac","CC","tilled",0.0600000000000005,0.76925,1.07598083586695
"3531","Ebelhar 07","urea","PCF",9.24,1.56,4,8.44,0.58,4,67,0,0,67,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",-0.800000000000001,0.6925,1.17283537454104
"3541","Ebelhar 07","urea","PCF",11.51,1.62,4,10.78,1.05,4,134,0,0,134,0,0,0,"at planting","single","spring","broadcast","none","5/8/07","DeKalb","CC","tilled",-0.73,0.931725,0.915868684911307
